"","Date","Open","High","Low","Close","Adj.Close","Volume","returns","returns_abs","returns_sq","returns_cube"
"1",2019-01-02,6349.5,6409.25,6154,6371,6371,659316,0,0.106784995484769,0.0114030352606822,-0.00121767306882461
"2",2019-01-03,6242.75,6304.25,6148.5,6162,6162,714536,-3.2804897190394,3.38727471452417,11.4736299916548,-38.8643367545383
"3",2019-01-04,6168.75,6462,6136.5,6434,6434,696539,4.41415124959429,4.30736625410952,18.5534040470415,79.9163064910854
"4",2019-01-05,6303.9880952381,6461.52380952381,6242.15476190476,6407.96428571429,6407.96428571429,637636.333333333,-0.404658288556322,0.511443284041091,0.261574232790736,-0.133780384639023
"5",2019-01-06,6401.57954545455,6519.47727272727,6350.31818181818,6475.76136363636,6475.76136363636,575157.181818182,1.05801273070798,0.951227735223209,0.904834204257876,0.860703390868714
"6",2019-01-07,6451.25,6535.75,6402.5,6496.5,6496.5,516597,0.320250163634668,0.213465168149898,0.0455673780132644,0.00972704800975146
"7",2019-01-08,6506,6586.25,6467.25,6557.25,6557.25,539049,0.935118910182406,0.828333914697637,0.686137074238312,0.568350608723004
"8",2019-01-09,6546.75,6645,6546.75,6604.75,6604.75,496789,0.724389035037554,0.617604039552785,0.381434749671918,0.235575642223182
"9",2019-01-10,6597.25,6641.75,6527.5,6625.25,6625.25,496364,0.310382679132443,0.203597683647673,0.0414520167866981,0.0084395346002962
"10",2019-01-11,6622.5,6632.5,6572,6612.75,6612.75,364787,-0.188672125580167,0.295457121064936,0.0872949103879802,-0.0257919029068542
"11",2019-01-12,6596.59090909091,6637.65909090909,6549.14772727273,6607.70454545455,6607.70454545455,423851.318181818,-0.0762988854176395,0.183083880902409,0.0335197074462874,-0.00613691812597966
"12",2019-01-13,6600.64772727273,6648.59090909091,6553.22727272727,6610.26136363636,6610.26136363636,418096.636363636,0.0386944991899789,0.0680904962947903,0.00463631568567085,-0.000315689036016649
"13",2019-01-14,6599,6602.5,6521.5,6545,6545,364990,-0.987273574315393,1.09405856980016,1.19696415415318,-1.30954889059488
"14",2019-01-15,6543,6689,6542.25,6676.75,6676.75,492324,2.01298701298701,1.90620201750224,3.63360613152962,6.92638733873029
"15",2019-01-16,6674.5,6737.25,6664,6666.25,6666.25,443742,-0.15726214101172,0.264047136496489,0.0697208902919955,-0.0184096014355873
"16",2019-01-17,6670,6760,6612.25,6720,6720,472761,0.806300393774611,0.699515398289842,0.489321792444596,0.342288128533781
"17",2019-01-18,6722.75,6828.25,6712,6792.75,6792.75,499881,1.08258928571429,0.975804290229516,0.95219401283033,0.929155002850696
"18",2019-01-19,6699.72222222222,6785.70833333333,6657.25,6733.47222222222,6733.47222222222,504858.888888889,-0.872662438302282,0.979447433787052,0.959317275552041,-0.939600843727032
"19",2019-01-20,6717.89285714286,6779.66071428571,6644.28571428571,6706.76785714286,6706.76785714286,533780.357142857,-0.39659130086306,0.503376296347829,0.253387695724858,-0.12754935981409
"20",2019-01-21,6727.22222222222,6773.16666666667,6626.66666666667,6685.09722222222,6685.09722222222,560423.277777778,-0.323115923828427,0.429900919313197,0.184814800426331,-0.0794520526059649
"21",2019-01-22,6794.5,6794.5,6611.5,6653,6653,651258,-0.480130971252398,0.586915966737167,0.344470352011023,-0.202175149662842
"22",2019-01-23,6652,6724.25,6592.25,6665.25,6665.25,515044,0.184127461295656,0.0773424658108869,0.00598185701770821,0.000462651571877711
"23",2019-01-24,6663,6718.5,6653,6675,6675,449017,0.146281084730505,0.039496089245736,0.00155994106570715,6.1611571549258e-05
"24",2019-01-25,6684.5,6810.5,6676.75,6791.25,6791.25,446822,1.74157303370786,1.6347880382231,2.67253192991732,4.36902323079812
"25",2019-01-26,6702.01136363636,6775.10227272727,6650.28409090909,6724.32954545455,6724.32954545455,473706.681818182,-0.985392299583347,1.09217729506812,1.19285124386231,-1.30280504494017
"26",2019-01-27,6727.07954545455,6784.03409090909,6655.13636363636,6724.47727272727,6724.47727272727,477113.772727273,0.00219690709278183,0.104588088391987,0.0109386682334902,-0.00114405440009489
"27",2019-01-28,6784.25,6791,6648.25,6701.75,6701.75,490045,-0.33797828151562,0.444763277000389,0.197814372568125,-0.0879805685811751
"28",2019-01-29,6695.25,6721,6616.75,6638.75,6638.75,441622,-0.940052971238856,1.04683796672362,1.09586972857405,-1.14719803845443
"29",2019-01-30,6690.25,6845.25,6657.75,6837.25,6837.25,526133,2.99002071173037,2.8832357162456,8.31304819543429,23.9684774679472
"30",2019-01-31,6844.25,6943,6839.25,6914.75,6914.75,557023,1.13349665435665,1.02671165887188,1.05413683046345,1.08229457388307
"31",2019-02-01,6911,6927.5,6860.5,6877.75,6877.75,461403,-0.535088036443834,0.641873031928603,0.412000989117217,-0.264452324042252
"32",2019-02-02,6867.27272727273,6938.26136363636,6837.95454545455,6898,6898,451996.909090909,0.294427683472053,0.187642687987283,0.035209778355093,0.00660685745398611
"33",2019-02-03,6894.96590909091,6977.84090909091,6870.81818181818,6936.67045454545,6936.67045454545,415574.863636364,0.56060386409765,0.45381886861288,0.205951565509075,0.0934647064483799
"34",2019-02-04,6863.75,6983,6858.25,6937.5,6937.5,353660,0.0119588419254004,0.0948261535593688,0.008991999398865,-0.000852676715802525
"35",2019-02-05,6937.5,7033.75,6928.25,7008,7008,369764,1.01621621621622,0.909431220731447,0.82706514524109,0.752158864661036
"36",2019-02-06,7009.25,7038.75,6972.25,6995.75,6995.75,376560,-0.174800228310502,0.281585223795271,0.0792902382598331,-0.0223269594851755
"37",2019-02-07,6988,6994.75,6856.25,6905.5,6905.5,595400,-1.29006897044634,1.39685396593111,1.95120100213748,-2.72554285816449
"38",2019-02-08,6902,6926.25,6841,6916.75,6916.75,464342,0.162913619578597,0.0561286240938276,0.0031504224426662,0.000176828877021169
"39",2019-02-09,6938.42045454545,6977.5,6883.125,6939.35227272727,6939.35227272727,447520.318181818,0.326775909600217,0.219990914115447,0.0483960022933501,0.0106466807840474
"40",2019-02-10,6938.77272727273,6990.92045454545,6901.21590909091,6950.63636363636,6950.63636363636,416697.318181818,0.162610146676633,0.0558251511918638,0.00311644750559445,0.000173976153181317
"41",2019-02-11,6921.75,6969.5,6896.25,6914.25,6914.25,384589,-0.523496867520297,0.630281863005066,0.397255226833137,-0.25038276445689
"42",2019-02-12,6908.5,7028.5,6903,7018.5,7018.5,363950,1.50775572187873,1.40097072639396,1.96271897621282,2.74971182981208
"43",2019-02-13,7017.25,7069.75,7012,7016.25,7016.25,359971,-0.0320581320795042,0.138843127564273,0.0192774140718291,-0.00267653646108428
"44",2019-02-14,7017.25,7057.5,6972,7019.75,7019.75,490159,0.0498841973988954,0.0569007980858738,0.00323770082280938,-0.000184227760781144
"45",2019-02-15,7017.5,7095.25,6975.25,7063.75,7063.75,430944,0.626802948822964,0.520017953338195,0.270418671794045,0.140622564250772
"46",2019-02-16,7019.34722222222,7080.80555555556,6984.43055555556,7047.20833333333,7047.20833333333,426865.166666667,-0.234176841856903,0.340961837341672,0.116254974523409,-0.0396385097136107
"47",2019-02-17,7041.78571428571,7090.60714285714,7004.82142857143,7054.625,7054.625,419994.071428571,0.105242619713471,0.00154237577129787,2.3789230198867e-06,-3.66919322765602e-09
"48",2019-02-18,7056.11111111111,7097.48611111111,7020.15277777778,7063.52777777778,7063.52777777778,408402.888888889,0.126197746553194,0.0194127510684251,0.000376854904044641,7.31579044113386e-06
"49",2019-02-19,7063.75,7094.75,7035.25,7068.25,7068.25,386613,0.0668535945604827,0.0399314009242865,0.00159451677977611,-6.36712888137421e-05
"50",2019-02-20,7068.75,7105,7032.25,7073.25,7073.25,418267,0.0707388674707318,0.0360461280140374,0.00129932334480437,-4.68355756184457e-05
"51",2019-02-21,7070.75,7113.75,7005,7034.5,7034.5,432866,-0.547838688014703,0.654623683499472,0.428532166998417,-0.280527305658515
"52",2019-02-22,7031.25,7101.25,7019.25,7088.25,7088.25,367501,0.764091264482195,0.657306268997426,0.432051531263316,0.283990180029315
"53",2019-02-23,7069.15909090909,7121.70454545455,7039.82954545454,7087.22727272727,7087.22727272727,380660.681818182,-0.0144284876059385,0.121213483090708,0.0146927084829813,-0.00178095437125855
"54",2019-02-24,7092.31818181818,7140.17045454545,7063.48863636364,7105.375,7105.375,367032.636363636,0.25606244267858,0.14927744719381,0.0222837562407009,0.00332646224550097
"55",2019-02-25,7108.5,7168.5,7102,7125.75,7125.75,346624,0.286754745527154,0.179969750042385,0.0323891109303184,0.00582906019822446
"56",2019-02-26,7122,7151,7073.25,7117.75,7117.75,362741,-0.112268883977125,0.219053879461894,0.0479846021073062,-0.0105112132460408
"57",2019-02-27,7109.25,7131.75,7048,7121.75,7121.75,367938,0.0561975343331811,0.0505874611515881,0.00255909122576343,-0.000129457927966677
"58",2019-02-28,7121.25,7130.75,7072.5,7102.5,7102.5,360883,-0.270298732755292,0.377083728240061,0.142192138103424,-0.0536183415624649
"59",2019-03-01,7106.5,7164.5,7098.25,7156,7156,383198,0.753255895811334,0.646470900326565,0.417924624969039,0.270176108572377
"60",2019-03-02,7128.65909090909,7165.21590909091,7086.30681818182,7138.38636363636,7138.38636363636,409478.681818182,-0.246138015143054,0.352923010627823,0.124554651430607,-0.0439582025705888
"61",2019-03-03,7145.125,7178.95454545455,7086.19318181818,7137.67045454545,7137.67045454545,453665.090909091,-0.0100290045178139,0.116814000002583,0.0136455105966035,-0.00159398667486688
"62",2019-03-04,7177,7211.5,7074.5,7145.75,7145.75,556660,0.113195831973439,0.00641083648866937,4.10988244844546e-05,2.6347784364636e-07
"63",2019-03-05,7144.5,7182,7124.25,7165.5,7165.5,364928,0.276388062834552,0.169603067349783,0.028765200454455,0.00487866623000693
"64",2019-03-06,7156,7171.25,7107,7111.25,7111.25,444302,-0.75709999302212,0.863884988506889,0.746297273367548,-0.644715011425847
"65",2019-03-07,7109,7123.25,7003.25,7027.5,7027.5,556540,-1.17771137282475,1.28449636830952,1.64993092020034,-2.11933027495892
"66",2019-03-08,7025.5,7034,6939,7026.75,7026.75,312130,-0.0106723585912487,0.117457354076018,0.013796230026539,-0.00162046867514138
"67",2019-03-09,7079.39772727273,7124.45454545455,7016.52272727273,7093.26136363636,7093.26136363636,329760.318181818,0.946545182856427,0.839760187371658,0.705197172294481,0.592196509539977
"68",2019-03-10,7093.17045454546,7170.19318181818,7050.35227272727,7145.11363636364,7145.11363636364,247462.181818182,0.73100750231892,0.624222506834151,0.389653738038312,0.243230633155572
"69",2019-03-11,7022.25,7176.75,6997.5,7164.75,7164.75,203726,0.274822272054982,0.168037276570213,0.0282365263171341,0.00474478898213436
"70",2019-03-12,7176,7223,7163.25,7206.5,7206.5,167990,0.582713981646254,0.475928986161485,0.226508399868699,0.10780191310657
"71",2019-03-13,7209.25,7295.5,7183.75,7267.75,7267.75,127111,0.849927149101506,0.743142153616736,0.552260260482121,0.410407879331623
"72",2019-03-14,7273.25,7293.5,7237.75,7239.75,7239.75,82276,-0.385263664820612,0.492048660305381,0.24211188410832,-0.11913082821951
"73",2019-03-15,7245.75,7288,7243,7270.350098,7270.350098,412124,0.422667882178251,0.315882886693481,0.0997819981058067,0.0315194256017057
"74",2019-03-16,7277.63636363636,7323.20454545455,7262.03409090909,7294.05912654546,7294.05912654546,314576.681818182,0.326105733917507,0.219320738432738,0.0481015863066815,0.0105496754285675
"75",2019-03-17,7320.375,7373.29545454545,7303.5,7344.27956327273,7344.27956327273,373098.454545455,0.688511511299697,0.581726515814928,0.338405739202175,0.196859591597857
"76",2019-03-18,7338,7379.5,7321.75,7360.75,7360.75,366874,0.224262115642204,0.117477120157434,0.0138008737604843,0.001621286905038
"77",2019-03-19,7362.25,7421.25,7351.25,7376.5,7376.5,427134,0.213972760927895,0.107187765443125,0.0114892170606905,0.00123150350342644
"78",2019-03-20,7378,7458,7349.5,7409.5,7409.5,550615,0.44736663729411,0.34058164180934,0.115995854737546,0.0395060586495911
"79",2019-03-21,7400.5,7541,7367.75,7534.5,7534.5,523249,1.68702341588501,1.58023842040024,2.49715346530906,3.94609784751698
"80",2019-03-22,7526.75,7544.75,7353,7368.75,7368.75,694561,-2.19988054947243,2.3066655449572,5.32070593629268,-12.2730890580955
"81",2019-03-23,7433.30681818182,7487.31818181818,7339.19318181818,7399.65909090909,7399.65909090909,603329.045454546,0.419461793507608,0.312676798022839,0.0977667800218154,0.0305694037302246
"82",2019-03-24,7400.29545454546,7446.13636363636,7319.11363636364,7378.34090909091,7378.34090909091,591478.045454545,-0.288096810356769,0.394881805841538,0.155931640584674,-0.06157456782191
"83",2019-03-25,7372.25,7390.5,7290,7355.25,7355.25,596897,-0.312955302220552,0.419740297705322,0.176181917517752,-0.0739506505091956
"84",2019-03-26,7363,7447.5,7340.5,7376.75,7376.75,557412,0.292308215220421,0.185523219735652,0.0344188650610829,0.00638549866577902
"85",2019-03-27,7383.5,7404.75,7276,7334.5,7334.5,592979,-0.572745450232148,0.679530445716917,0.461761626656232,-0.313781083976678
"86",2019-03-28,7323.5,7372.5,7289.5,7352,7352,446378,0.238598404799236,0.131813409314467,0.0173747748751033,0.00229022831235871
"87",2019-03-29,7350.25,7414.5,7350.25,7400.5,7400.5,395579,0.65968443960827,0.552899444123501,0.305697795312076,0.169020141097827
"88",2019-03-30,7384.25,7444.10227272727,7365.78409090909,7421.47727272727,7421.47727272727,433959.090909091,0.283457505942464,0.176672510457695,0.0312131759514244,0.0055145101546959
"89",2019-03-31,7430.35227272727,7491.82954545454,7416.70454545455,7474.15909090909,7474.15909090909,418530.136363636,0.70985622196023,0.603071226475461,0.363694904202617,0.219333931940347
"90",2019-04-01,7430,7506.5,7428.5,7498.5,7498.5,412914,0.325667527207377,0.218882531722608,0.0479095626932984,0.0104865663760322
"91",2019-04-02,7495.25,7532.5,7483.75,7519.25,7519.25,359192,0.27672201106888,0.169937015584111,0.0288785892656345,0.00490754127408127
"92",2019-04-03,7517,7616.25,7513.25,7582.25,7582.25,483546,0.837849519566446,0.731064524081677,0.534455338370769,0.390721337588938
"93",2019-04-04,7581.25,7598,7522,7561.5,7561.5,432440,-0.27366546869333,0.380450464178099,0.144742555693331,-0.0550673724998521
"94",2019-04-05,7565,7612.75,7556,7604.25,7604.25,358710,0.565364015076374,0.458579019591605,0.210294717209597,0.0964367452432708
