"quantitySum","d","side"
"160449.7037240002","2019-07-21 00:00:00","sell"
"154462.8521190006","2019-07-22 00:00:00","sell"
"191177.30871900017","2019-07-23 00:00:00","sell"
"193089.02021700022","2019-07-24 00:00:00","sell"
"162800.5010070003","2019-07-25 00:00:00","sell"
"112993.9968250002","2019-07-26 00:00:00","sell"
"166236.32501799986","2019-07-27 00:00:00","sell"
"129295.36147200016","2019-07-28 00:00:00","sell"
"133664.6341950001","2019-07-29 00:00:00","sell"
"143726.07319300008","2019-07-30 00:00:00","sell"
"133318.53447400022","2019-07-31 00:00:00","sell"
"114094.64047700007","2019-08-01 00:00:00","sell"
"130000.90024300026","2019-08-02 00:00:00","sell"
"112005.60554700017","2019-08-03 00:00:00","sell"
"91452.38959700007","2019-08-04 00:00:00","sell"
"196738.09278700018","2019-08-05 00:00:00","sell"
"203758.88313200013","2019-08-06 00:00:00","sell"
"182529.16220800037","2019-08-07 00:00:00","sell"
"141561.2683010002","2019-08-08 00:00:00","sell"
"135470.22960500015","2019-08-09 00:00:00","sell"
"145497.1900060001","2019-08-10 00:00:00","sell"
"113464.08883000007","2019-08-11 00:00:00","sell"
"73262.30704899998","2019-08-12 00:00:00","sell"
"90671.39816","2019-08-13 00:00:00","sell"
"178415.2850210001","2019-08-14 00:00:00","sell"
"129818.5983980002","2019-08-15 00:00:00","sell"
"166149.05225700012","2019-08-16 00:00:00","sell"
"85867.86439000012","2019-08-17 00:00:00","sell"
"105391.7303470002","2019-08-18 00:00:00","sell"
"142970.56613200047","2019-08-19 00:00:00","sell"
"110672.88515900022","2019-08-20 00:00:00","sell"
"164893.09979100045","2019-08-21 00:00:00","sell"
"146010.24776000011","2019-08-22 00:00:00","sell"
"118133.32751300021","2019-08-23 00:00:00","sell"
"101019.12967099993","2019-08-24 00:00:00","sell"
"98808.02471500014","2019-08-25 00:00:00","sell"
"152857.73736200022","2019-08-26 00:00:00","sell"
"96577.7362880001","2019-08-27 00:00:00","sell"
"177273.05208300022","2019-08-28 00:00:00","sell"
"166478.5574440001","2019-08-29 00:00:00","sell"
"136404.87245100012","2019-08-30 00:00:00","sell"
"112486.06991400007","2019-08-31 00:00:00","sell"
"116911.16889799995","2019-09-01 00:00:00","sell"
"183462.3755420001","2019-09-02 00:00:00","sell"
"194073.88582400006","2019-09-03 00:00:00","sell"
"173178.79625800045","2019-09-04 00:00:00","sell"
"136438.18756700013","2019-09-05 00:00:00","sell"
"189752.65961700026","2019-09-06 00:00:00","sell"
"147941.12073600016","2019-09-07 00:00:00","sell"
"151973.88528300016","2019-09-08 00:00:00","sell"
"160172.792234","2019-09-09 00:00:00","sell"
"133700.71368600015","2019-09-10 00:00:00","sell"
"158435.51837700015","2019-09-11 00:00:00","sell"
"130758.11787200024","2019-09-12 00:00:00","sell"
"161284.25332900023","2019-09-13 00:00:00","sell"
"177435.11830100027","2019-09-14 00:00:00","sell"
"161487.02643500036","2019-09-15 00:00:00","sell"
"300471.1888730001","2019-09-16 00:00:00","sell"
"375464.4905729999","2019-09-17 00:00:00","sell"
"278022.6579110002","2019-09-18 00:00:00","sell"
"441871.62628499983","2019-09-19 00:00:00","sell"
"232391.4144680001","2019-09-20 00:00:00","sell"
"216465.5593290001","2019-09-21 00:00:00","sell"
"234357.91759100024","2019-09-22 00:00:00","sell"
"210724.63038600024","2019-09-23 00:00:00","sell"
"772131.5764070001","2019-09-24 00:00:00","sell"
"477510.0196140014","2019-09-25 00:00:00","sell"
"424543.66103900084","2019-09-26 00:00:00","sell"
"352449.93530100014","2019-09-27 00:00:00","sell"
"288323.35530699993","2019-09-28 00:00:00","sell"
"222758.9829410002","2019-09-29 00:00:00","sell"
"334178.84110100026","2019-09-30 00:00:00","sell"
"320105.53283400054","2019-10-01 00:00:00","sell"
"189851.93644000017","2019-10-02 00:00:00","sell"
"186034.20580500018","2019-10-03 00:00:00","sell"
"191718.53972500013","2019-10-04 00:00:00","sell"
"159297.44742199994","2019-10-05 00:00:00","sell"
"166490.56617100022","2019-10-06 00:00:00","sell"
"297613.4406240002","2019-10-07 00:00:00","sell"
"215399.58777000022","2019-10-08 00:00:00","sell"
"325793.59614000027","2019-10-09 00:00:00","sell"
"246893.26781100023","2019-10-10 00:00:00","sell"
"325589.60823400033","2019-10-11 00:00:00","sell"
"159450.19746400014","2019-10-12 00:00:00","sell"
"138726.518414","2019-10-13 00:00:00","sell"
"161188.38508500037","2019-10-14 00:00:00","sell"
"216819.7509420005","2019-10-15 00:00:00","sell"
"191345.8210500001","2019-10-16 00:00:00","sell"
"173478.9860780002","2019-10-17 00:00:00","sell"
"168298.40632000015","2019-10-18 00:00:00","sell"
"167585.55296400015","2019-10-19 00:00:00","sell"
"179917.0072670001","2019-10-20 00:00:00","sell"
"156780.6832340001","2019-10-21 00:00:00","sell"
"141913.2501640002","2019-10-22 00:00:00","sell"
"377529.376902","2019-10-23 00:00:00","sell"
"218550.32117499996","2019-10-24 00:00:00","sell"
"527396.7000220002","2019-10-25 00:00:00","sell"
"698432.2967610013","2019-10-26 00:00:00","sell"
"432333.6689300007","2019-10-27 00:00:00","sell"
"335236.98781100084","2019-10-28 00:00:00","sell"
"302411.85948600044","2019-10-29 00:00:00","sell"
"290862.7779420001","2019-10-30 00:00:00","sell"
"237951.6032460003","2019-10-31 00:00:00","sell"
"199209.99721200016","2019-11-01 00:00:00","sell"
"104778.2219930002","2019-11-02 00:00:00","sell"
"130984.67654800018","2019-11-03 00:00:00","sell"
"199533.51952600028","2019-11-04 00:00:00","sell"
"223028.8194909999","2019-11-05 00:00:00","sell"
"192161.89781700028","2019-11-06 00:00:00","sell"
"175029.9499810001","2019-11-07 00:00:00","sell"
"205778.44717100027","2019-11-08 00:00:00","sell"
"112826.843376","2019-11-09 00:00:00","sell"
"157134.68916000027","2019-11-10 00:00:00","sell"
"147172.81237700017","2019-11-11 00:00:00","sell"
"150414.1318300001","2019-11-12 00:00:00","sell"
"114780.98120500003","2019-11-13 00:00:00","sell"
"133514.81217500014","2019-11-14 00:00:00","sell"
"219155.54286699998","2019-11-15 00:00:00","sell"
