Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,23320.000000,23417.000000,22786.000000,23325.000000,23325.000000,315923
2019-01-03,23065.000000,23123.000000,22615.000000,22659.000000,22659.000000,346019
2019-01-04,22708.000000,23504.000000,22563.000000,23395.000000,23395.000000,320826
2019-01-06,null,null,null,null,null,null
2019-01-07,23470.000000,23668.000000,23279.000000,23512.000000,23512.000000,238574
2019-01-08,23530.000000,23848.000000,23497.000000,23743.000000,23743.000000,246033
2019-01-09,23724.000000,23966.000000,23712.000000,23830.000000,23830.000000,235891
2019-01-10,23826.000000,23999.000000,23640.000000,23953.000000,23953.000000,228649
2019-01-11,23958.000000,23994.000000,23765.000000,23950.000000,23950.000000,173649
2019-01-13,null,null,null,null,null,null
2019-01-14,23919.000000,23937.000000,23696.000000,23867.000000,23867.000000,163417
2019-01-15,23867.000000,24073.000000,23825.000000,23984.000000,23984.000000,224202
2019-01-16,23981.000000,24259.000000,23959.000000,24151.000000,24151.000000,184061
2019-01-17,24160.000000,24449.000000,24010.000000,24321.000000,24321.000000,201765
2019-01-18,24336.000000,24745.000000,24298.000000,24687.000000,24687.000000,215532
2019-01-20,null,null,null,null,null,null
2019-01-22,24690.000000,24702.000000,24216.000000,24390.000000,24390.000000,280459
2019-01-23,24390.000000,24673.000000,24276.000000,24551.000000,24551.000000,250043
2019-01-24,24512.000000,24608.000000,24386.000000,24458.000000,24458.000000,209709
2019-01-25,24476.000000,24830.000000,24458.000000,24696.000000,24696.000000,195062
2019-01-27,null,null,null,null,null,null
2019-01-28,24665.000000,24712.000000,24284.000000,24473.000000,24473.000000,210986
2019-01-29,24458.000000,24638.000000,24350.000000,24553.000000,24553.000000,180579
2019-01-30,24635.000000,25068.000000,24540.000000,24968.000000,24968.000000,242154
2019-01-31,24931.000000,25046.000000,24796.000000,24976.000000,24976.000000,230827
2019-02-01,25015.000000,25143.000000,24933.000000,24996.000000,24996.000000,200835
2019-02-03,null,null,null,null,null,null
2019-02-04,24939.000000,25198.000000,24924.000000,25188.000000,25188.000000,140106
2019-02-05,25170.000000,25374.000000,25141.000000,25324.000000,25324.000000,159440
2019-02-06,25325.000000,25387.000000,25257.000000,25327.000000,25327.000000,157030
2019-02-07,25311.000000,25331.000000,24965.000000,25131.000000,25131.000000,274561
2019-02-08,25118.000000,25124.000000,24862.000000,25081.000000,25081.000000,223285
2019-02-10,null,null,null,null,null,null
2019-02-11,25089.000000,25226.000000,24981.000000,25017.000000,25017.000000,183968
2019-02-12,25012.000000,25439.000000,25002.000000,25406.000000,25406.000000,172650
