"","date","price","returns","returns_abs","returns_sq","returns_cube"
"1742","2019-05-07",13978.6045581291,0.28997763927866,0.070800052289341,0.00501264740417342,-0.000354895698323508
"1743","2019-05-08",14233.2394261869,1.82160434540456,1.46082665383656,2.13401451255931,3.11742527962068
"1744","2019-05-09",14345.1981535074,0.786600463661937,0.425822772093936,0.181325033233764,0.0772123283016266
"1745","2019-05-10",14736.9145642074,2.73064482280592,2.36986713123792,5.61627021972186,13.3098141938692
"1746","2019-05-11",15098.8873607358,2.45623189950188,2.09545420793388,4.39092833754779,9.20098926165061
"1747","2019-05-12",17372.5751916312,15.058644895968,14.6978672044,216.027300358177,3175.14057318952
"1748","2019-05-13",16452.6569409294,-5.29523251765777,5.65601020922577,31.9904514868661,-180.938320207456
"1749","2019-05-14",18191.4835798735,10.5686676941425,10.2078900025745,104.201018304661,1063.67253301023
"1750","2019-05-15",19150.4853716655,5.27170743156436,4.91092973999636,24.1172309111807,118.438026528077
"1751","2019-05-16",20059.1837464504,4.74504095927188,4.38426326770388,19.2217644005375,84.2732756017344
"1752","2019-05-17",19548.5470157932,-2.54565059631382,2.90642828788182,8.44732539259965,-24.551545477994
"1753","2019-05-18",18195.3357496535,-6.92231123390626,7.28308892547426,53.0433842963659,-386.319684738538
"1754","2019-05-19",17937.7048477499,-1.41591727379092,1.77669496535892,3.15664499993173,-5.6083952788041
"1755","2019-05-20",20046.58763064,11.7567035514838,11.3959258599158,129.867126204698,1479.95614186907
"1756","2019-05-21",19490.5666542174,-2.77364400698677,3.13442169855478,9.824599384371,-30.7944374899803
"1757","2019-05-22",19546.0343336326,0.284587310360204,0.0761903812077967,0.00580497418858938,-0.000442283196330045
"1758","2019-05-23",18751.8450766664,-4.06317334457788,4.42395103614589,19.5713427702163,-86.5826621270645
"1759","2019-05-24",19155.5147683492,2.15269318849643,1.79191549692843,3.21096114813225,5.75377104137328
"1760","2019-05-25",19430.5103526343,1.43559485407032,1.07481716250232,1.15523193280954,1.24166310805442
"1761","2019-05-26",19552.9230227669,0.630002341220041,0.26922464965204,0.0724819119802639,0.0195139173589966
"1762","2019-05-27",20926.8001411315,7.0264538798874,6.6656761883194,44.4312390475283,296.164252136637
"1763","2019-05-28",21627.6837986176,3.34921561232152,2.98843792075352,8.93076120619761,26.6890254497954
"1764","2019-05-29",21468.0816394271,-0.737953082154375,1.09873077372238,1.20720931312457,-1.32639802265422
"1765","2019-05-30",21296.08323763,-0.801181981166017,1.16195967273402,1.35015028106015,-1.56882017872239
"1766","2019-05-31",20411.0397072212,-4.15589815522948,4.51667584679748,20.4003607050437,-92.1418164624272
"1767","2019-06-01",21216.4441579805,3.94592564765016,3.58514795608216,12.8532858670001,46.080931555015
"1768","2019-06-02",21006.0374952079,-0.991715016926882,1.35249270849488,1.82923652653182,-2.4740290642468
"1769","2019-06-03",21464.3517785094,2.18182169486299,1.82104400329499,3.31620126193665,6.03894842176903
"1770","2019-06-04",20046.2006677971,-6.60700646982587,6.96778416139387,48.5500161197713,-338.28603335476
