"","Date","Open","High","Low","Close","Adj.Close","Volume","returns"
"1",2019-01-02,23320,23417,22786,23325,23325,315923,0
"2",2019-01-03,23065,23123,22615,22659,22659,346019,-2.85530546623794
"3",2019-01-04,22708,23504,22563,23395,23395,320826,3.24815746502493
"4",2019-01-05,23106.0952380952,23509.1428571429,22874.1904761905,23324.2857142857,23324.2857142857,298323,-0.302262388178184
"5",2019-01-06,23338,23652.0909090909,23161.4545454545,23495.6363636364,23495.6363636364,267473.636363636,0.734644788053256
"6",2019-01-07,23470,23668,23279,23512,23512,238574,0.0696454273907713
"7",2019-01-08,23530,23848,23497,23743,23743,246033,0.982477033004423
"8",2019-01-09,23724,23966,23712,23830,23830,235891,0.36642378806385
"9",2019-01-10,23826,23999,23640,23953,23953,228649,0.516156105749056
"10",2019-01-11,23958,23994,23765,23950,23950,173649,-0.0125245271990982
"11",2019-01-12,23878.9545454545,23994.5909090909,23727,23927.3636363636,23927.3636363636,195806.181818182,-0.0945150882520416
"12",2019-01-13,23915.9090909091,24031.5909090909,23765.8181818182,23955.9545454545,23955.9545454545,189173.454545455,0.119490427467992
"13",2019-01-14,23919,23937,23696,23867,23867,163417,-0.371325405905924
"14",2019-01-15,23867,24073,23825,23984,23984,224202,0.490216617086354
"15",2019-01-16,23981,24259,23959,24151,24151,184061,0.696297531687792
"16",2019-01-17,24160,24449,24010,24321,24321,201765,0.703904600223593
"17",2019-01-18,24336,24745,24298,24687,24687,215532,1.50487233255212
"18",2019-01-19,24273.7222222222,24579.1111111111,24159.7222222222,24466.5,24466.5,218588.944444444,-0.893182646737149
"19",2019-01-20,24406.9285714286,24635.6428571429,24212.3571428571,24475.7857142857,24475.7857142857,234382.142857143,0.0379527692384026
"20",2019-01-21,24522.8888888889,24682.9444444444,24259.3333333333,24479.5,24479.5,249508.5,0.015175348230469
"21",2019-01-22,24690,24702,24216,24390,24390,280459,-0.365612042729631
"22",2019-01-23,24390,24673,24276,24551,24551,250043,0.660106601066011
"23",2019-01-24,24512,24608,24386,24458,24458,209709,-0.37880330740092
"24",2019-01-25,24476,24830,24458,24696,24696,195062,0.973096737263881
"25",2019-01-26,24524.4090909091,24741.4545454545,24379.6363636364,24584.4545454545,24584.4545454545,210324.227272727,-0.451674176163963
"26",2019-01-27,24575.9545454545,24756.3181818182,24383.0909090909,24598.1363636364,24598.1363636364,207956.727272727,0.0556523153951751
"27",2019-01-28,24665,24712,24284,24473,24473,210986,-0.508722944642903
"28",2019-01-29,24458,24638,24350,24553,24553,180579,0.326890859314346
"29",2019-01-30,24635,25068,24540,24968,24968,242154,1.69022115423777
"30",2019-01-31,24931,25046,24796,24976,24976,230827,0.0320410124959949
"31",2019-02-01,25015,25143,24933,24996,24996,200835,0.0800768737988469
"32",2019-02-02,24954.2272727273,25137.6818181818,24877.8636363636,25049.4545454545,25049.4545454545,192327.681818182,0.213852398201889
"33",2019-02-03,25032.2727272727,25223.5,24968.1363636364,25158.5909090909,25158.5909090909,175198.954545455,0.435683593182927
"34",2019-02-04,24939,25198,24924,25188,25188,140106,0.116894825371435
"35",2019-02-05,25170,25374,25141,25324,25324,159440,0.539939653803398
"36",2019-02-06,25325,25387,25257,25327,25327,157030,0.0118464697520139
"37",2019-02-07,25311,25331,24965,25131,25131,274561,-0.773877679946302
"38",2019-02-08,25118,25124,24862,25081,25081,223285,-0.198957462894433
"39",2019-02-09,25172,25266,24987.4545454545,25159.9090909091,25159.9090909091,209523.727272727,0.314617004541653
"40",2019-02-10,25157.5909090909,25315.5909090909,25025.6818181818,25185.2727272727,25185.2727272727,197456.772727273,0.100809729764884
"41",2019-02-11,25089,25226,24981,25017,25017,183968,-0.668139388820309
"42",2019-02-12,25012,25439,25002,25406,25406,172650,1.55494263900548
"43",2019-02-13,25396,25606,25385,25488,25488,170326,0.322758403526726
"44",2019-02-14,25496,25622,25304,25427,25427,241761,-0.23932831136221
"45",2019-02-15,25407,25907,25275,25888,25888,216960,1.81303338970386
"46",2019-02-16,25483.1111111111,25794.1111111111,25366.1666666667,25718,25718,212087.444444444,-0.656674907292954
"47",2019-02-17,25663.1428571429,25882.7142857143,25546.5714285714,25799.0714285714,25799.0714285714,209430.285714286,0.315232244231385
"48",2019-02-18,25815.5,25957.7777777778,25709.8333333333,25877.2777777778,25877.2777777778,204214.722222222,0.30313629474174
"49",2019-02-19,25886,25957,25789,25883,25883,206825,0.0221129218898761
"50",2019-02-20,25880,25985,25825,25964,25964,187898,0.312946721786501
"51",2019-02-21,25964,26082,25753,25833,25833,207240,-0.50454475427515
"52",2019-02-22,25833,26044,25805,26002,26002,179512,0.654201989703093
"53",2019-02-23,25939.2272727273,26087.0454545455,25855.9545454545,25983.5,25983.5,186908.954545455,-0.0711483732020474
"54",2019-02-24,26007.3636363636,26134.9545454545,25923.1363636364,26023.0454545455,26023.0454545455,183137.5,0.152194487060836
"55",2019-02-25,26074,26238,26040,26099,26099,175462,0.291874160490609
"56",2019-02-26,26096,26150,25954,26037,26037,194075,-0.237556994520863
"57",2019-02-27,26009,26056,25872,26008,26008,174322,-0.111379959288705
"58",2019-02-28,26028,26028,25878,25913,25913,179959,-0.365272223931098
"59",2019-03-01,25923,26143,25894,26031,26031,178642,0.455369891560221
"60",2019-03-02,25974.8181818182,26082.4545454545,25811.3181818182,25933.1363636364,25933.1363636364,200480.681818182,-0.375950352900911
"61",2019-03-03,25958.9545454545,26044.6818181818,25705.2727272727,25844.4090909091,25844.4090909091,225541.681818182,-0.342138611709481
"62",2019-03-04,26107,26171,25605,25814,25814,293705,-0.117662163611968
"63",2019-03-05,25809,25890,25721,25827,25827,172953,0.0503602696211358
"64",2019-03-06,25790,25832,25625,25666,25666,198158,-0.623378634762071
"65",2019-03-07,25668,25707,25338,25467,25467,275341,-0.775344814151017
"66",2019-03-08,25449,25522,25213,25495,25495,159398,0.109946204892606
"67",2019-03-09,25564.7727272727,25664.8636363636,25335.6363636364,25565.4545454545,25565.4545454545,164820.545454545,0.276346520708155
"68",2019-03-10,25555.7727272727,25693.9545454545,25340.5,25599.8181818182,25599.8181818182,126651.363636364,0.134414337529349
"69",2019-03-11,25465,25694,25218,25653,25653,113227,0.207742952719827
"70",2019-03-12,25666,25759,25512,25553,25553,81963,-0.389817955015008
"71",2019-03-13,25580,25775,25461,25735,25735,63401,0.712245137557234
"72",2019-03-14,25761,25795,25624,25710,25710,39428,-0.097143967359627
"73",2019-03-15,25700,25856,25681,25758.900391,25758.900391,213647,0.19019988720342
"74",2019-03-16,25762.0454545455,25886.2727272727,25682.1818181818,25787.9637785455,25787.9637785455,148540.863636364,0.112828525691297
"75",2019-03-17,25827,25961.5909090909,25740.9545454545,25863.8000710909,25863.8000710909,164059.045454545,0.294076310935979
"76",2019-03-18,25862,25976,25810,25965,25965,138471,0.391280201018134
"77",2019-03-19,25967,26145,25847,25906,25906,201555,-0.227228962064317
"78",2019-03-20,25913,25967,25696,25729,25729,235252,-0.683239403999074
"79",2019-03-21,25702,26044,25608,26011,26011,227962,1.09603948851491
"80",2019-03-22,25982,26036,25529,25570,25570,291875,-1.69543654607666
"81",2019-03-23,25800.7727272727,25934.3636363636,25544.2727272727,25694.9090909091,25694.9090909091,252429.727272727,0.488498595655424
"82",2019-03-24,25690.3181818182,25817.5909090909,25486.1818181818,25654.9090909091,25654.9090909091,241346.409090909,-0.155672860559587
"83",2019-03-25,25573,25647,25377,25577,25577,248236,-0.30368102507405
"84",2019-03-26,25596,25822,25561,25676,25676,199333,0.387066505063143
"85",2019-03-27,25676,25781,25441,25660,25660,242937,-0.0623150023368126
"86",2019-03-28,25622,25762,25526,25737,25737,181851,0.300077942322681
