x,dax_TVKDE,nq_TVKDE,dow_TVKDE,crix_TVKDE,snp500_TVKDE,btc_TVKDE,dax_U,nq_U,dow_U,crix_U,snp500_U,btc_U
-38.0,2.088864061146591e-16,1.9572820730428687e-16,2.088864061146591e-16,0.00010473584815824468,2.220446049250313e-16,0.0013137726722684936,2.220446049250313e-16,2.1546550551984519e-16,2.1546550551984519e-16,0.0001048103205387978,2.1546550551984519e-16,0.0013148684195641424
-37.97148574287144,2.0230730670947297e-16,2.1546550551984519e-16,2.220446049250313e-16,0.00011537239046653526,2.3520280373540355e-16,0.0013526761732810457,2.220446049250313e-16,2.088864061146591e-16,2.220446049250313e-16,0.00011545442595599257,2.220446049250313e-16,0.0013538043678995306
-37.94297148574287,2.3520280373540355e-16,2.1546550551984519e-16,2.220446049250313e-16,0.00012686717089224075,2.2862370433021743e-16,0.0013900803975954224,2.220446049250313e-16,2.088864061146591e-16,2.3520280373540355e-16,0.00012695737974048507,2.2862370433021743e-16,0.0013912397890705024
-37.91445722861431,2.1546550551984519e-16,2.0230730670947297e-16,2.1546550551984519e-16,0.00013926354508659027,2.2862370433021743e-16,0.0014257995073538024,2.2862370433021743e-16,1.9572820730428687e-16,2.220446049250313e-16,0.0001393625683714558,2.1546550551984519e-16,0.0014269886902218247
-37.88594297148574,2.4178190314058963e-16,1.8914910789910075e-16,2.088864061146591e-16,0.0001526041921068728,2.220446049250313e-16,0.0014596524599308567,2.088864061146591e-16,2.220446049250313e-16,2.088864061146591e-16,0.0001527127012531692,2.0230730670947297e-16,0.0014608698777302648
-37.85742871435718,1.9572820730428687e-16,2.088864061146591e-16,2.4836100254577575e-16,0.00016693073598558487,2.2862370433021743e-16,0.0014914645266157667,2.1546550551984519e-16,1.8914910789910075e-16,2.220446049250313e-16,0.0001670494320148234,2.4178190314058963e-16,0.0014927084771530978
-37.82891445722861,2.2862370433021743e-16,2.0230730670947297e-16,2.220446049250313e-16,0.00018228334035781638,2.3520280373540355e-16,0.0015210687880163358,2.220446049250313e-16,2.088864061146591e-16,2.4178190314058963e-16,0.00018241295284991902,2.3520280373540355e-16,0.0015223374298797105
-37.80040020010005,2.1546550551984519e-16,1.9572820730428687e-16,2.61519201356148e-16,0.0001987002780120858,2.4836100254577575e-16,0.0015483075883709677,2.220446049250313e-16,1.8257000849391462e-16,2.220446049250313e-16,0.00019884156376077242,2.4178190314058963e-16,0.0015495989486562073
-37.77188594297149,2.220446049250313e-16,1.9572820730428687e-16,2.1546550551984519e-16,0.0002162174777267527,2.220446049250313e-16,0.001573033931099654,2.220446049250313e-16,2.2862370433021743e-16,2.1546550551984519e-16,0.00021637121907289273,2.4836100254577575e-16,0.0015743459143006966
-37.743371685842924,2.0230730670947297e-16,2.088864061146591e-16,2.220446049250313e-16,0.00023486805126388414,2.2862370433021743e-16,0.0015951127983505331,2.220446049250313e-16,1.8257000849391462e-16,2.088864061146591e-16,0.00023503505409245052,2.1546550551984519e-16,0.001596443196350097
